geracao;minFitness;maxFitness;avgFitness;time
244;219;567;290;0.142437
245;219;548;303;0.143008
246;219;538;294;0.143571
247;219;541;293;0.144123
248;217;543;289;0.144682
249;217;551;294;0.145260
250;217;545;298;0.145829
251;217;555;296;0.146387
252;217;521;285;0.146926
253;217;523;294;0.147480
254;217;540;294;0.148034
255;217;544;294;0.148584
256;217;567;295;0.149137
257;217;540;283;0.149672
258;217;554;294;0.150220
259;217;545;291;0.150769
260;217;548;295;0.151375
261;217;546;298;0.151946
262;215;542;290;0.152509
263;215;543;294;0.153072
264;215;552;292;0.153629
265;214;575;293;0.154177
266;212;541;288;0.154721
267;212;552;285;0.155264
268;212;540;285;0.155807
269;212;553;287;0.156357
270;212;546;282;0.156951
271;212;558;298;0.157512
272;212;561;288;0.158059
273;212;557;291;0.158612
274;212;557;291;0.159184
275;212;539;287;0.159741
276;212;544;286;0.160290
277;212;556;290;0.160838
278;212;547;284;0.161380
279;212;591;285;0.161919
280;212;536;286;0.162463
281;212;552;289;0.163003
282;212;547;283;0.163542
283;212;551;294;0.164103
284;212;554;291;0.164697
285;212;554;282;0.165274
286;212;525;284;0.165819
287;212;579;292;0.166393
288;212;540;292;0.166962
289;212;568;289;0.167517
290;212;542;288;0.168085
291;212;569;287;0.168635
292;212;547;292;0.169186
293;212;557;288;0.169742
294;212;561;284;0.170298
295;212;544;291;0.170847
296;212;533;300;0.171425
297;212;537;292;0.171990
298;212;543;289;0.172545
299;212;551;294;0.173115
300;212;532;290;0.173673
301;212;565;293;0.174222
302;209;572;286;0.174777
303;207;555;286;0.175325
304;207;553;285;0.175864
305;207;570;292;0.176432
306;207;544;288;0.176986
307;207;560;293;0.177554
308;207;539;289;0.178118
309;207;549;286;0.178696
310;207;559;288;0.179256
311;207;566;291;0.179826
312;207;563;289;0.180380
313;207;560;288;0.180937
314;207;560;291;0.181504
315;207;553;285;0.182073
316;205;536;285;0.182630
317;205;572;289;0.183190
318;205;563;281;0.183751
319;205;528;279;0.184296
320;205;545;280;0.184849
321;205;552;279;0.185392
322;205;540;286;0.185942
323;205;573;291;0.186507
324;205;566;288;0.187068
325;205;540;281;0.187625
326;205;560;276;0.188166
327;205;542;280;0.188716
328;205;538;284;0.189279
329;205;543;280;0.189823
330;205;560;279;0.190368
331;205;532;292;0.190954
332;205;544;281;0.191496
333;205;576;284;0.192048
334;205;549;287;0.192608
335;205;535;282;0.193163
336;205;538;283;0.193715
337;205;545;281;0.194280
338;205;547;290;0.194863
339;205;549;282;0.195422
340;205;553;285;0.195973
341;205;542;287;0.196532
342;205;558;286;0.197096
343;205;555;286;0.197653
344;205;568;282;0.198197
345;205;546;289;0.198755
346;205;545;287;0.199326
347;205;588;287;0.199897
348;205;541;286;0.200465
349;205;560;280;0.201021
350;205;545;287;0.201573
351;205;571;274;0.202112
352;205;540;282;0.202661
353;205;555;289;0.203207
354;205;554;292;0.203769
355;205;580;280;0.204324
356;205;539;279;0.204869
357;205;557;286;0.205420
358;205;529;285;0.205988
359;205;523;288;0.206551
360;205;554;279;0.207090
361;205;550;291;0.207630
362;205;538;283;0.208178
363;205;555;280;0.208717
364;205;538;280;0.209259
365;205;540;287;0.209806
366;205;530;291;0.210388
367;205;551;288;0.210953
368;205;541;280;0.211499
369;205;552;282;0.212048
370;205;533;282;0.212596
371;205;541;279;0.213142
372;205;536;279;0.213690
373;205;540;279;0.214236
374;205;526;279;0.214767
375;205;549;284;0.215330
376;205;542;285;0.215888
377;205;561;290;0.216445
378;205;549;292;0.216997
379;205;560;287;0.217551
380;205;549;283;0.218104
381;205;543;275;0.218649
382;205;563;280;0.219207
383;203;560;284;0.219763
384;203;536;277;0.220313
385;203;598;284;0.220892
386;203;532;277;0.221444
387;203;542;277;0.222004
388;203;565;281;0.222572
389;203;556;293;0.223158
390;203;552;283;0.223727
391;203;557;281;0.224294
392;203;553;283;0.224862
393;203;563;284;0.225442
394;203;553;279;0.226012
395;203;562;287;0.226586
396;203;544;277;0.227154
397;201;553;275;0.227713
398;201;551;283;0.228278
399;201;542;280;0.228832
400;201;538;279;0.229401
401;201;536;284;0.229969
402;201;573;279;0.230520
403;201;534;281;0.231073
404;201;541;282;0.231655
405;201;563;288;0.232223
406;200;564;284;0.232791
407;200;558;288;0.233369
408;200;560;282;0.233928
409;200;548;285;0.234499
410;200;536;272;0.235062
411;200;546;282;0.235635
412;200;536;276;0.236205
413;200;545;273;0.236781
414;200;573;275;0.237343
415;200;566;293;0.237926
416;200;539;282;0.238505
417;200;559;283;0.239083
418;200;585;278;0.239648
419;200;553;275;0.240208
420;200;561;284;0.240778
421;200;533;281;0.241350
422;200;543;273;0.241923
423;200;562;279;0.242491
424;200;559;285;0.243066
425;200;534;279;0.243641
426;200;554;268;0.244201
427;200;554;276;0.244756
428;200;557;275;0.245319
429;200;556;276;0.245881
430;200;565;284;0.246457
431;200;536;284;0.247042
432;200;551;279;0.247602
433;200;565;272;0.248160
434;200;533;278;0.248730
435;200;560;277;0.249294
436;200;546;281;0.249865
437;199;535;278;0.250440
438;199;540;272;0.251004
439;199;540;283;0.251578
440;199;560;274;0.252131
441;199;537;278;0.252720
442;199;552;286;0.253294
443;199;551;283;0.253868
444;199;541;277;0.254430
445;199;542;286;0.255005
446;199;540;283;0.255631
447;199;566;279;0.256216
448;199;552;277;0.256797
449;199;553;274;0.257350
450;199;548;283;0.257934
451;199;550;289;0.258534
452;199;544;278;0.259108
453;199;535;281;0.259685
454;199;566;272;0.260241
455;199;545;273;0.260796
456;199;544;278;0.261352
457;199;536;270;0.261894
458;199;558;273;0.262452
459;199;564;273;0.263029
460;199;551;292;0.263619
461;199;557;279;0.264207
462;199;539;273;0.264775
463;199;538;279;0.265339
464;199;540;281;0.265908
465;199;585;284;0.266481
466;199;563;273;0.267047
467;199;545;278;0.267610
468;199;533;277;0.268177
469;199;558;275;0.268759
470;199;577;275;0.269322
471;199;547;290;0.269904
472;199;559;280;0.270488
473;199;542;282;0.271061
474;199;562;281;0.271633
475;199;553;280;0.272190
476;199;555;279;0.272755
477;199;545;292;0.273342
478;199;549;289;0.273951
479;199;552;290;0.274545
480;199;564;280;0.275119
481;199;550;286;0.275709
482;198;567;282;0.276282
483;198;553;276;0.276853
484;198;531;273;0.277418
485;198;524;271;0.277975
486;198;546;283;0.278520
487;198;572;281;0.279086
488;198;522;272;0.279630
489;198;552;270;0.280175
490;198;560;274;0.280715
491;198;564;271;0.281247
492;198;552;271;0.281781
493;198;546;277;0.282335
494;198;560;273;0.282879
495;198;558;284;0.283460
496;198;547;271;0.284013
497;198;556;281;0.284583
498;198;546;277;0.285138
499;198;563;278;0.285699
500;198;517;282;0.286264
501;198;564;284;0.286821
502;198;541;278;0.287383
503;198;542;276;0.287934
504;198;569;283;0.288498
505;198;561;283;0.289059
506;195;545;276;0.289617
507;195;556;277;0.290177
508;195;536;277;0.290734
509;195;553;279;0.291289
510;195;551;276;0.291833
511;195;553;271;0.292381
512;192;535;271;0.292928
513;192;534;279;0.293492
514;192;549;279;0.294064
515;192;578;274;0.294622
516;192;552;269;0.295180
517;192;543;274;0.295737
518;192;543;269;0.296282
519;192;565;284;0.296850
520;192;537;278;0.297455
521;192;524;270;0.298008
522;192;533;269;0.298632
523;192;567;278;0.299195
524;192;560;274;0.299756
525;192;549;283;0.300345
526;192;546;269;0.300902
527;192;558;268;0.301449
528;192;548;269;0.302000
529;192;576;272;0.302561
530;192;541;273;0.303120
531;192;543;269;0.303677
532;192;536;277;0.304237
533;192;547;280;0.304802
534;192;550;278;0.305368
535;192;591;278;0.305935
536;192;564;269;0.306495
537;192;543;272;0.307058
538;192;578;276;0.307629
539;192;547;275;0.308201
540;192;533;265;0.308758
541;192;541;274;0.309314
542;192;544;266;0.309862
543;192;545;284;0.310444
544;192;539;285;0.311037
545;192;551;274;0.311600
546;192;531;270;0.312159
547;192;537;272;0.312720
548;192;551;278;0.313282
549;192;561;272;0.313838
550;192;571;271;0.314389
551;192;549;277;0.314949
552;192;534;272;0.315513
553;192;565;278;0.316096
554;192;561;276;0.316657
555;192;577;278;0.317223
556;192;541;273;0.317784
557;192;538;275;0.318352
558;192;528;273;0.318905
559;192;590;273;0.319542
560;192;538;281;0.320110
561;192;551;280;0.320680
562;192;562;277;0.321238
563;192;555;279;0.321785
564;192;547;277;0.322337
565;192;553;269;0.322889
566;192;567;277;0.323450
567;192;567;280;0.324010
568;192;563;278;0.324577
569;191;534;276;0.325147
570;191;533;270;0.325713
571;191;548;274;0.326273
572;191;537;278;0.326854
573;191;565;279;0.327419
574;191;554;270;0.327978
575;191;570;273;0.328529
576;191;562;281;0.329102
577;191;560;271;0.329664
578;191;565;264;0.330222
579;191;546;277;0.330781
580;191;530;270;0.331346
581;191;532;277;0.331917
582;191;547;269;0.332487
583;191;544;269;0.333035
584;191;535;269;0.333597
585;191;535;267;0.334149
586;191;555;267;0.334709
587;191;558;277;0.335274
588;191;537;278;0.335848
589;191;529;275;0.336410
590;191;541;259;0.336953
591;191;566;275;0.337535
592;191;561;279;0.338102
593;191;527;269;0.338652
594;191;561;268;0.339210
595;191;536;261;0.339761
596;191;554;272;0.340312
597;191;526;266;0.340855
598;191;563;274;0.341417
599;186;555;268;0.341973
600;186;545;271;0.342529
601;186;539;264;0.343082
602;186;552;267;0.343635
603;186;539;267;0.344181
604;186;549;267;0.344728
605;186;554;270;0.345281
606;186;539;272;0.345844
607;186;551;277;0.346416
608;185;535;269;0.346978
609;185;541;266;0.347538
610;185;548;270;0.348113
611;185;543;281;0.348684
612;185;574;277;0.349249
613;185;557;270;0.349814
614;185;536;260;0.350352
615;185;547;265;0.350895
616;185;556;273;0.351453
617;185;543;271;0.352016
618;185;561;273;0.352581
619;185;562;265;0.353146
620;185;535;268;0.353702
621;185;544;264;0.354253
622;185;556;269;0.354808
623;185;572;259;0.355364
624;185;574;261;0.355906
625;185;568;272;0.356464
626;185;550;265;0.357012
627;185;538;263;0.357547
628;185;558;269;0.358098
629;185;561;267;0.358655
630;185;551;270;0.359206
631;185;567;260;0.359740
632;185;531;279;0.360299
633;185;548;263;0.360884
634;185;572;259;0.361438
635;185;554;268;0.361992
636;185;538;267;0.362537
637;185;561;269;0.363081
638;185;544;267;0.363621
639;185;593;270;0.364175
640;185;556;263;0.364723
641;185;559;269;0.365269
642;185;548;260;0.365808
643;185;541;266;0.366342
644;185;552;269;0.366900
645;185;539;265;0.367447
646;185;544;264;0.367996
647;185;562;263;0.368528
648;185;545;273;0.369095
649;185;588;271;0.369653
650;185;531;272;0.370214
651;185;543;267;0.370763
652;185;567;274;0.371325
653;185;524;267;0.371881
654;185;538;270;0.372436
655;185;553;273;0.373000
656;180;546;274;0.373560
657;180;533;275;0.374136
658;180;577;276;0.374725
659;180;546;269;0.375266
660;180;549;274;0.375819
661;180;558;258;0.376362
662;180;549;263;0.376907
663;180;534;267;0.377458
664;180;541;263;0.378009
665;180;550;265;0.378547
666;180;552;266;0.379105
667;180;575;266;0.379665
668;180;605;267;0.380218
669;180;555;265;0.380771
670;180;558;266;0.381320
671;180;578;262;0.381878
672;180;550;268;0.382430
673;180;545;268;0.382986
674;180;542;266;0.383542
675;180;516;271;0.384109
676;180;542;271;0.384676
677;179;565;266;0.385232
678;179;559;267;0.385797
679;179;550;280;0.386376
680;179;552;266;0.386949
681;179;547;260;0.387500
682;179;579;262;0.388053
683;179;573;273;0.388617
684;179;569;260;0.389181
685;179;552;266;0.389728
686;179;560;257;0.390301
687;179;529;254;0.390857
688;179;556;260;0.391416
689;177;544;264;0.391980
690;177;535;261;0.392556
691;177;531;269;0.393135
692;177;528;260;0.393697
693;177;542;266;0.394263
694;177;552;262;0.394828
695;177;542;252;0.395392
696;177;543;266;0.395970
697;177;534;261;0.396553
698;177;550;256;0.397120
699;177;529;270;0.397702
700;177;546;258;0.398272
701;177;559;267;0.398857
702;177;540;262;0.399440
703;177;554;268;0.400041
704;177;550;275;0.400637
705;177;538;267;0.401230
706;177;550;264;0.401812
707;177;534;260;0.402377
708;177;541;264;0.402947
709;177;547;260;0.403514
710;177;545;267;0.404098
711;177;554;262;0.404676
712;177;554;261;0.405235
713;177;540;253;0.405798
714;177;549;254;0.406365
715;177;549;265;0.406940
716;177;557;259;0.407516
717;177;545;263;0.408086
718;177;543;264;0.408660
719;177;572;259;0.409235
720;177;532;263;0.409811
721;177;546;253;0.410374
722;177;549;257;0.410944
723;177;537;260;0.411538
724;177;566;271;0.412133
725;177;543;262;0.412714
726;177;535;251;0.413281
727;177;555;265;0.413860
728;177;559;261;0.414434
729;177;565;270;0.415023
730;177;546;267;0.415606
731;177;556;268;0.416196
732;177;559;269;0.416792
733;177;541;271;0.417381
734;177;544;259;0.417959
735;177;571;266;0.418552
736;177;548;260;0.419128
737;177;544;251;0.419689
738;177;552;271;0.420274
739;177;544;262;0.420856
740;177;582;268;0.421435
741;177;552;255;0.422024
742;177;552;258;0.422599
743;177;564;266;0.423180
744;177;526;268;0.423772
745;177;533;260;0.424364
746;177;561;257;0.424930
747;177;549;269;0.425512
748;177;570;254;0.426078
749;177;552;258;0.426648
750;177;528;254;0.427220
751;177;578;258;0.427786
752;177;572;259;0.428357
753;177;549;262;0.428935
754;177;553;257;0.429511
755;177;553;259;0.430080
756;177;561;264;0.430662
757;177;555;258;0.431232
758;177;592;256;0.431803
759;177;568;267;0.432384
760;177;560;277;0.432995
761;177;538;267;0.433589
762;177;554;276;0.434186
763;177;544;270;0.434777
764;177;565;263;0.435361
765;177;564;265;0.435948
766;177;543;255;0.436531
767;177;534;256;0.437106
768;177;556;269;0.437676
769;177;533;262;0.438255
770;177;520;265;0.438840
771;177;530;257;0.439406
772;177;561;261;0.439981
773;177;554;268;0.440560
774;177;549;267;0.441143
775;177;538;264;0.441722
776;177;534;260;0.442308
777;177;543;264;0.442904
778;177;554;265;0.443492
779;177;573;269;0.444072
780;177;556;264;0.444657
781;176;583;259;0.445225
782;176;541;261;0.445806
783;176;553;265;0.446401
784;176;571;262;0.446975
785;176;548;257;0.447547
786;176;584;259;0.448112
787;175;545;261;0.448701
788;175;536;256;0.449282
789;175;578;256;0.449861
790;175;538;267;0.450454
791;175;561;261;0.451041
792;175;554;262;0.451631
793;175;538;258;0.452213
794;175;553;264;0.452801
795;175;534;260;0.453387
796;175;551;258;0.453966
797;174;542;258;0.454541
798;174;555;266;0.455125
799;174;529;260;0.455710
800;174;538;251;0.456290
801;174;534;260;0.456879
802;174;535;264;0.457482
803;174;541;265;0.458086
804;174;533;256;0.458675
805;174;535;254;0.459260
806;174;545;266;0.459858
807;174;536;270;0.460463
808;174;551;265;0.461067
809;174;528;266;0.461669
810;174;570;268;0.462272
811;174;564;261;0.462873
812;174;548;258;0.463458
813;174;578;267;0.464052
814;174;549;257;0.464634
815;174;530;256;0.465218
816;174;548;262;0.465809
817;174;561;260;0.466397
818;174;552;271;0.467002
819;174;548;257;0.467603
820;174;562;260;0.468200
821;174;553;260;0.468797
822;174;535;260;0.469424
823;174;551;264;0.470015
824;174;556;264;0.470614
825;174;540;265;0.471215
826;174;525;265;0.471816
827;174;561;268;0.472418
828;174;569;256;0.473008
829;174;531;261;0.473603
